category,total_time_us,calls,pct_of_total
binarizer,3469608674.583,403917747,56.826397328843825
top_level,1821509964.1,534,29.83329207027508
context_modeling,692994141.6800001,7053228321,11.350087037236772
cabac_standard,120770876.446,251560694,1.9780253205350133
other,410807.39999999997,17731399,0.006728339339546697
cabac_bypass,333972.0,6961130,0.005469903769764346
