encode_time,decode_time,peak_enc_mem,peak_dec_mem,peak_delta_enc,peak_delta_dec,param_name,layer_type,shape,numel,bits_quant,raw_bytes,qstep,mse_quant,nmse_quant,mse_post,nmse_post,compressed_bytes,compression_ratio,compression_gain_pct,bits_per_element,decoded_equal,mode_used
6.291999998211394e-05,4.5700000191573055e-05,467533824.0,467535462.4,7372.8,18022.4,bn1.bias,bias,"(64,)",64,8,64,0.0066490655126335,3.174851372023113e-06,4.2583743207466085e-05,3.174851372023113e-06,4.2583743207466085e-05,66,0.9696969696969696,-3.125,8.25,True,bypass
5.533999974431936e-05,5.1559999701567e-05,467536281.6,467536281.6,12288.0,20480.0,bn1.bias,bias,"(64,)",64,16,128,3.0882236349385863e-05,6.627515203305734e-11,8.889373783230257e-10,6.627515203305734e-11,8.889373783230257e-10,130,0.9846153846153848,-1.5625,16.25,True,bypass
4.303999994590413e-05,1.5999999595806004e-05,467526451.2,467528089.6,18022.4,19660.8,bn1.weight,weight,"(64,)",64,8,64,0.0045977623624668,1.2668633644352667e-06,0.0001728816185211,1.2668633644352667e-06,0.0001728816185211,63,1.0158730158730158,1.5625,7.875,True,regular
5.1960000200779176e-05,4.2359999861218965e-05,467533004.8,467532185.6,9011.2,19660.8,bn1.weight,weight,"(64,)",64,16,128,1.5690514318870046e-05,1.606695158862248e-11,2.192565254722758e-09,1.606695158862248e-11,2.192565254722758e-09,130,0.9846153846153848,-1.5625,16.25,True,bypass
0.0031517600004008,0.00079375999957844,467384729.6,467485491.2,24576.0,18022.4,conv1.weight,weight,"(64, 3, 7, 7)",9408,8,9408,0.0060385747336014,3.0315825370053062e-06,0.0001996944137111,3.0315825370053062e-06,0.0001996944137111,6863,1.3708290834911847,27.05144557823129,5.835884353741497,True,regular
0.00663340000028252,0.00176976000002464,467523174.4,467523174.4,18841.6,18841.6,conv1.weight,weight,"(64, 3, 7, 7)",9408,16,18816,2.4084504749304915e-05,4.675006562426809e-11,3.079489617003538e-09,4.675006562426809e-11,3.079489617003538e-09,16149,1.165149544863459,14.17410714285714,13.732142857142858,True,regular
0.00046965999972594004,0.00010029999975811443,706955673.6,693387264.0,20480.0,18022.4,fc.bias,bias,"(1000,)",1000,8,1000,0.0002914003126445,6.795415341542821e-09,5.246622129353243e-05,6.795415341542821e-09,5.246622129353243e-05,946,1.0570824524312896,5.399999999999993,7.568,True,regular
0.0006672399998933,0.00024565999992768,676997529.6,676996710.4,20480.0,19660.8,fc.bias,bias,"(1000,)",1000,16,2000,1.1349333783508318e-06,1.0193584800040345e-13,7.870289732310621e-10,1.0193584800040345e-13,7.870289732310621e-10,1972,1.0141987829614605,1.4000000000000012,15.776,True,regular
0.4236815999996907,0.11301445999997664,702876057.6,713105408.0,1316454.4,8215756.8,fc.weight,weight,"(1000, 2048)",2048000,8,2048000,0.00390625,1.272496433557535e-06,0.0011348010312477,1.313160169047478e-06,0.0011710645898334,1274472,1.6069399720040929,37.769921875,4.97840625,True,regular
0.4577447800002119,0.11603263999968474,730814873.6,731539046.4,1336115.2,8216576.0,fc.weight,weight,"(1000, 2048)",2048000,16,4096000,0.00390625,1.272496433557535e-06,0.0011348010312477,1.272496433557535e-06,0.0011348010312477,1266465,3.234199129071865,69.0804443359375,4.94712890625,True,regular
3.7679999877582304e-05,2.826000018103514e-05,467537100.8,467537920.0,3276.8,19660.8,layer1.0.bn1.bias,bias,"(64,)",64,8,64,0.0043697978733914,1.2848927326558623e-06,5.8098238477581e-05,1.2848927326558623e-06,5.8098238477581e-05,66,0.9696969696969696,-3.125,8.25,True,bypass
3.8619999759248455e-05,3.5659999412018806e-05,467537920.0,467536281.6,13926.4,18022.4,layer1.0.bn1.bias,bias,"(64,)",64,16,128,1.745944926009005e-05,1.7690619802390728e-11,7.999063439101815e-10,1.7690619802390728e-11,7.999063439101815e-10,130,0.9846153846153848,-1.5625,16.25,True,bypass
4.5559999853139745e-05,2.0519999452517368e-05,467538739.2,467537920.0,20480.0,19660.8,layer1.0.bn1.weight,weight,"(64,)",64,8,64,0.00295410619135,5.684487405233085e-07,7.040404770061445e-05,5.684487405233085e-07,7.040404770061445e-05,66,0.9696969696969696,-3.125,8.25,True,regular
4.4179999895277434e-05,3.332000014779624e-05,467538739.2,467537920.0,13107.2,19660.8,layer1.0.bn1.weight,weight,"(64,)",64,16,128,1.5220703853272276e-05,1.3417521434189172e-11,1.6617994758982801e-09,1.3417521434189172e-11,1.6617994758982801e-09,130,0.9846153846153848,-1.5625,16.25,True,bypass
6.486000056610586e-05,3.091999933531042e-05,467542016.0,467542835.2,6553.6,20480.0,layer1.0.bn2.bias,bias,"(64,)",64,8,64,0.0041609278374736,1.2319122788539971e-06,3.988875578032947e-05,1.2319122788539971e-06,3.988875578032947e-05,66,0.9696969696969696,-3.125,8.25,True,bypass
7.280000027094502e-05,2.9179999910411424e-05,467542016.0,467542835.2,4915.2,20480.0,layer1.0.bn2.bias,bias,"(64,)",64,16,128,1.9018659920024984e-05,1.9575886051059754e-11,6.33858231042785e-10,1.9575886051059754e-11,6.33858231042785e-10,130,0.9846153846153848,-1.5625,16.25,True,bypass
3.969999997934792e-05,2.007999974011909e-05,467540377.6,467541196.8,18022.4,18841.6,layer1.0.bn2.weight,weight,"(64,)",64,8,64,0.0023501828532001,3.196678335370962e-07,0.0001068494854451,3.196678335370962e-07,0.0001068494854451,66,0.9696969696969696,-3.125,8.25,True,regular
5.8960000387742184e-05,3.8940000376896935e-05,467542016.0,467542016.0,4915.2,19660.8,layer1.0.bn2.weight,weight,"(64,)",64,16,128,8.936064120992465e-06,4.7538964952076315e-12,1.588997518930365e-09,4.7538964952076315e-12,1.588997518930365e-09,130,0.9846153846153848,-1.5625,16.25,True,bypass
9.697999994386303e-05,3.553999995347113e-05,467557580.8,467556761.6,19660.8,18841.6,layer1.0.bn3.bias,bias,"(256,)",256,8,256,0.0024086047194083,4.381283815746429e-07,9.175136379344392e-05,4.381283815746429e-07,9.175136379344392e-05,231,1.1082251082251082,9.765625,7.21875,True,regular
0.0002088000001094,4.809999954886734e-05,467558400.0,467557580.8,20480.0,19660.8,layer1.0.bn3.bias,bias,"(256,)",256,16,512,9.428459081867516e-06,6.16698489150358e-12,1.2914691174660142e-09,6.16698489150358e-12,1.2914691174660142e-09,483,1.060041407867495,5.664062500000011,15.09375,True,regular
0.00013001999977856,4.125999985262752e-05,467542835.2,467547750.4,18841.6,19660.8,layer1.0.bn3.weight,weight,"(256,)",256,8,256,0.0031796848616717,6.618199677177472e-07,6.288215196803887e-05,6.618199677177472e-07,6.288215196803887e-05,232,1.103448275862069,9.375,7.25,True,regular
0.00022776000005248002,4.870000047958456e-05,467547750.4,467555123.2,19660.8,18841.6,layer1.0.bn3.weight,weight,"(256,)",256,16,512,1.2624791334717072e-05,1.0365376959531323e-11,9.84855762848841e-10,1.0365376959531323e-11,9.84855762848841e-10,483,1.060041407867495,5.664062500000011,15.09375,True,regular
0.0009540999999444,0.00026950000028588,467540377.6,467539558.4,19660.8,18841.6,layer1.0.conv1.weight,weight,"(64, 64, 1, 1)",4096,8,4096,0.0055660309745485,2.444790879962966e-06,0.0004874349722104,2.444790879962966e-06,0.0004874349722104,2590,1.5814671814671817,36.767578125,5.05859375,True,regular
0.0027024400005756797,0.0006833600000390599,467537920.0,467537100.8,19660.8,18841.6,layer1.0.conv1.weight,weight,"(64, 64, 1, 1)",4096,16,8192,2.22795577279612e-05,3.603077905478536e-11,7.183707175624674e-09,3.603077905478536e-11,7.183707175624674e-09,6366,1.2868363179390512,22.2900390625,12.43359375,True,regular
0.00646409999972086,0.00171766000021302,467541196.8,467542016.0,18841.6,19660.8,layer1.0.conv2.weight,weight,"(64, 64, 3, 3)",36864,8,36864,0.00390625,1.1076955388489296e-06,0.001303707940618,1.1076955388489296e-06,0.001303707940618,19359,1.904230590423059,47.4853515625,4.201171875,True,regular
0.0067784999999275395,0.00173910000012252,467542835.2,467541196.8,20480.0,18841.6,layer1.0.conv2.weight,weight,"(64, 64, 3, 3)",36864,16,73728,0.00390625,1.1076955388489296e-06,0.001303707940618,1.1076955388489296e-06,0.001303707940618,19329,3.814372186869471,73.78336588541667,4.194661458333333,True,regular
0.00311507999977034,0.00100187999996702,467542016.0,467542016.0,19660.8,19660.8,layer1.0.conv3.weight,weight,"(256, 64, 1, 1)",16384,8,16384,0.00390625,1.0943876986857504e-06,0.0008799611152448,1.0943876986857504e-06,0.0008799611152448,9256,1.77009507346586,43.505859375,4.51953125,True,regular
0.00336382000023146,0.00084476000010904,467542016.0,467542016.0,19660.8,19660.8,layer1.0.conv3.weight,weight,"(256, 64, 1, 1)",16384,16,32768,0.00390625,1.0943876986857504e-06,0.0008799611152448,1.0943876986857504e-06,0.0008799611152448,9250,3.5424864864864865,71.771240234375,4.5166015625,True,regular
0.00345042000008102,0.00114591999990804,467556761.6,467558400.0,18841.6,20480.0,layer1.0.downsample.0.weight,weight,"(256, 64, 1, 1)",16384,8,16384,0.00390625,1.1379764828234329e-06,0.0003441615065387,2.859088453988079e-05,0.0086468235899795,10512,1.5585996955859969,35.83984375,5.1328125,True,regular
0.00391798000018748,0.00102325999941964,467558400.0,467557580.8,20480.0,19660.8,layer1.0.downsample.0.weight,weight,"(256, 64, 1, 1)",16384,16,32768,0.00390625,1.1379764828234329e-06,0.0003441615065387,1.1379764828234329e-06,0.0003441615065387,10503,3.1198705131867084,67.9473876953125,5.12841796875,True,regular
9.325999963039067e-05,4.445999984454829e-05,467559219.2,467558400.0,20480.0,19660.8,layer1.0.downsample.1.bias,bias,"(256,)",256,8,256,0.0024086047194083,4.381283815746429e-07,9.175136379344392e-05,4.381283815746429e-07,9.175136379344392e-05,231,1.1082251082251082,9.765625,7.21875,True,regular
0.00022468000024671999,7.58599995606093e-05,467557580.8,467557580.8,18841.6,18841.6,layer1.0.downsample.1.bias,bias,"(256,)",256,16,512,9.428459081867516e-06,6.16698489150358e-12,1.2914691174660142e-09,6.16698489150358e-12,1.2914691174660142e-09,483,1.060041407867495,5.664062500000011,15.09375,True,regular
0.00012266000012456,4.055999961565249e-05,467558400.0,467557580.8,19660.8,18841.6,layer1.0.downsample.1.weight,weight,"(256,)",256,8,256,0.0035783705515495,9.304475270255352e-07,7.202807878376427e-05,9.304475270255352e-07,7.202807878376427e-05,235,1.0893617021276596,8.203125,7.34375,True,regular
0.00030377999974002,5.006000064895488e-05,467559219.2,467558400.0,20480.0,19660.8,layer1.0.downsample.1.weight,weight,"(256,)",256,16,512,1.4063157718712142e-05,1.3620679237269506e-11,1.054408044187865e-09,1.3620679237269506e-11,1.054408044187865e-09,481,1.0644490644490645,6.0546875,15.03125,True,regular
4.613999917637557e-05,4.1239999336539765e-05,467559219.2,467556761.6,15564.8,18022.4,layer1.1.bn1.bias,bias,"(64,)",64,8,64,0.0035140380459665,8.437173164566047e-07,3.934152684777612e-05,8.437173164566047e-07,3.934152684777612e-05,66,0.9696969696969696,-3.125,8.25,True,bypass
6.304000016823979e-05,2.972000002046116e-05,467557580.8,467557580.8,8192.0,18841.6,layer1.1.bn1.bias,bias,"(64,)",64,16,128,1.299051569345668e-05,9.955152154017544e-12,4.641968086963181e-10,9.955152154017544e-12,4.641968086963181e-10,130,0.9846153846153848,-1.5625,16.25,True,bypass
3.956000036851037e-05,1.754000004439149e-05,467559219.2,467558400.0,20480.0,19660.8,layer1.1.bn1.weight,weight,"(64,)",64,8,64,0.0027505898617436,4.831927071791142e-07,9.342497822946682e-05,4.831927071791142e-07,9.342497822946682e-05,66,0.9696969696969696,-3.125,8.25,True,regular
6.205999925441574e-05,2.873999983421527e-05,467559219.2,467559219.2,0.0,20480.0,layer1.1.bn1.weight,weight,"(64,)",64,16,128,1.0967570991528218e-05,7.330714160702634e-12,1.4173885505606632e-09,7.330714160702634e-12,1.4173885505606632e-09,130,0.9846153846153848,-1.5625,16.25,True,bypass
4.434000002220273e-05,3.9319999632425604e-05,468209664.0,468208844.8,6553.6,19660.8,layer1.1.bn2.bias,bias,"(64,)",64,8,64,0.0026290510969724,5.028369969295454e-07,2.888500431938904e-05,5.028369969295454e-07,2.888500431938904e-05,66,0.9696969696969696,-3.125,8.25,True,bypass
