encode_time;decode_time;peak_enc_mem;peak_dec_mem;peak_delta_enc;peak_delta_dec;param_name;layer_type;shape;numel;bits_quant;raw_bytes;qstep;mse_quant;nmse_quant;mse_post;nmse_post;compressed_bytes;compression_ratio;compression_gain_pct;bits_per_element;decoded_equal
0,00312649999978016;0,00092080000031268;780392038,4;780392857,6;19660,8;20480,0;features.3.1.block.3.0.weight;weight;(40, 240, 1, 1);9600;8;9600;0,0052404676069772;2.2707711195835145e-06;0,0001420165826154;2.2707711195835145e-06;0,0001420165826154;8088;1,1869436201780414;15,749999999999996;6,74;True
0,0065782599998782994;0,00163857999978058;780392038,4;780391219,2;19660,8;18841,6;features.3.1.block.3.0.weight;weight;(40, 240, 1, 1);9600;16;19200;2.066829990786157e-05;3.4743170146400715e-11;2.1728769803649747e-09;3.4743170146400715e-11;2.1728769803649747e-09;17808;1,0781671159029649;7,249999999999989;14,84;True
4.621999978553504e-05;3.148000032524578e-05;780392038,4;780391219,2;5734,4;18841,6;features.3.1.block.3.1.bias;bias;(40,);40;8;40;0,0328906532386471;8.280975453089923e-05;4.669676599632303e-05;8.280975453089923e-05;4.669676599632303e-05;42;0,9523809523809524;-5.000000000000004;8,4;True
4.5319999844650735e-05;2.299999978276901e-05;780391219,2;780391219,2;13926,4;18841,6;features.3.1.block.3.1.bias;bias;(40,);40;16;80;0,0001152876158596;7.978567806432578e-10;4.499147666278352e-10;7.978567806432578e-10;4.499147666278352e-10;82;0,975609756097561;-2.5000000000000133;16,4;True
4.106000014871825e-05;2.2519999765791e-05;780390400,0;780390400,0;10649,6;18022,4;features.3.1.block.3.1.weight;weight;(40,);40;8;40;0,0534199420078221;0,0001812395930755;0,0001053813860726;0,0001812395930755;0,0001053813860726;42;0,9523809523809524;-5.000000000000004;8,4;True
3.467999995336868e-05;1.9600000086938962e-05;780392857,6;780392038,4;9830,4;18022,4;features.3.1.block.3.1.weight;weight;(40,);40;16;80;0,0002432104598859;3.9860248435275025e-09;2.317665890785235e-09;3.9860248435275025e-09;2.317665890785235e-09;82;0,975609756097561;-2.5000000000000133;16,4;True
0,0030190799992851;0,00086043999981478;780392038,4;780391219,2;19660,8;18841,6;features.4.0.block.0.0.weight;weight;(240, 40, 1, 1);9600;8;9600;0,0081822513564521;5.7317406572110485e-06;0,0001519807564761;5.7317406572110485e-06;0,0001519807564761;8043;1,1935844834017155;16,218749999999993;6,7025;True
0,00662472000003614;0,0016160800001670799;780392857,6;780391219,2;20480,0;18841,6;features.4.0.block.0.0.weight;weight;(240, 40, 1, 1);9600;16;19200;3.33541501163878e-05;9.171603060353915e-11;2.4319090038698423e-09;9.171603060353915e-11;2.4319090038698423e-09;17698;1,0848683467058424;7,822916666666668;14,748333333333331;True
0,00012339999957475034;3.452000055403914e-05;780392038,4;780392857,6;19660,8;20480,0;features.4.0.block.0.1.bias;bias;(240,);240;8;240;0,0303830178446412;7.219269900815561e-05;6.426269219278866e-05;7.219269900815561e-05;6.426269219278866e-05;227;1,0572687224669604;5,41666666666667;7,566666666666666;True
0,00017697999974182;4.917999940516893e-05;780392038,4;780391219,2;19660,8;18841,6;features.4.0.block.0.1.bias;bias;(240,);240;16;480;0,0001184701494661;9.85131753949986e-10;8.76919959264553e-10;9.85131753949986e-10;8.76919959264553e-10;479;1,0020876826722338;0,2083333333333326;15,966666666666669;True
